modelCondition,rep,method,RobinsonFouldsDistance
1000gene-1000bp,R1,mpest,0.083333333333333
1000gene-1000bp,R1,SuperTriplets,0
1000gene-1000bp,R1,Astral,0
1000gene-1000bp,R1,stelar,0
1000gene-1000bp,R2,mpest,0.166666666666667
1000gene-1000bp,R2,SuperTriplets,0
1000gene-1000bp,R2,Astral,0
1000gene-1000bp,R2,stelar,0
1000gene-1000bp,R3,mpest,0.166666666666667
1000gene-1000bp,R3,SuperTriplets,0
1000gene-1000bp,R3,Astral,0
1000gene-1000bp,R3,stelar,0.083333333333333
1000gene-1000bp,R4,mpest,0.083333333333333
1000gene-1000bp,R4,SuperTriplets,0.083333333333333
1000gene-1000bp,R4,Astral,0
1000gene-1000bp,R4,stelar,0.083333333333333
1000gene-1000bp,R5,mpest,0.083333333333333
1000gene-1000bp,R5,SuperTriplets,0.083333333333333
1000gene-1000bp,R5,Astral,0
1000gene-1000bp,R5,stelar,0.083333333333333
1000gene-1000bp,R6,mpest,0.083333333333333
1000gene-1000bp,R6,SuperTriplets,0.083333333333333
1000gene-1000bp,R6,Astral,0
1000gene-1000bp,R6,stelar,0
1000gene-1000bp,R7,mpest,0.083333333333333
1000gene-1000bp,R7,SuperTriplets,0
1000gene-1000bp,R7,Astral,0
1000gene-1000bp,R7,stelar,0.083333333333333
1000gene-1000bp,R8,mpest,0.083333333333333
1000gene-1000bp,R8,SuperTriplets,0.083333333333333
1000gene-1000bp,R8,Astral,0
1000gene-1000bp,R8,stelar,0.083333333333333
1000gene-1000bp,R9,mpest,0.083333333333333
1000gene-1000bp,R9,SuperTriplets,0.083333333333333
1000gene-1000bp,R9,Astral,0
1000gene-1000bp,R9,stelar,0
1000gene-1000bp,R10,mpest,0.083333333333333
1000gene-1000bp,R10,SuperTriplets,0
1000gene-1000bp,R10,Astral,0.083333333333333
1000gene-1000bp,R10,stelar,0.083333333333333
1000gene-100bp,R1,mpest,0.5
1000gene-100bp,R1,SuperTriplets,0.083333333333333
1000gene-100bp,R1,Astral,0.416666666666667
1000gene-100bp,R1,stelar,0.333333333333333
1000gene-100bp,R2,mpest,0.416666666666667
1000gene-100bp,R2,SuperTriplets,0.333333333333333
1000gene-100bp,R2,Astral,0.416666666666667
1000gene-100bp,R2,stelar,0.416666666666667
1000gene-100bp,R3,mpest,0.333333333333333
1000gene-100bp,R3,SuperTriplets,0.416666666666667
1000gene-100bp,R3,Astral,0.333333333333333
1000gene-100bp,R3,stelar,0.333333333333333
1000gene-100bp,R4,mpest,0.25
1000gene-100bp,R4,SuperTriplets,0.333333333333333
1000gene-100bp,R4,Astral,0.25
1000gene-100bp,R4,stelar,0.25
1000gene-100bp,R5,mpest,0.583333333333333
1000gene-100bp,R5,SuperTriplets,0.25
1000gene-100bp,R5,Astral,0.416666666666667
1000gene-100bp,R5,stelar,0.666666666666667
1000gene-100bp,R6,mpest,0.166666666666667
1000gene-100bp,R6,SuperTriplets,0.666666666666667
1000gene-100bp,R6,Astral,0.166666666666667
1000gene-100bp,R6,stelar,0.166666666666667
1000gene-100bp,R7,mpest,0.333333333333333
1000gene-100bp,R7,SuperTriplets,0.166666666666667
1000gene-100bp,R7,Astral,0.333333333333333
1000gene-100bp,R7,stelar,0.333333333333333
1000gene-100bp,R8,mpest,0.5
1000gene-100bp,R8,SuperTriplets,0.333333333333333
1000gene-100bp,R8,Astral,0.5
1000gene-100bp,R8,stelar,0.5
1000gene-100bp,R9,mpest,0.333333333333333
1000gene-100bp,R9,SuperTriplets,0.5
1000gene-100bp,R9,Astral,0.333333333333333
1000gene-100bp,R9,stelar,0.25
1000gene-100bp,R10,mpest,0.25
1000gene-100bp,R10,SuperTriplets,0.25
1000gene-100bp,R10,Astral,0.333333333333333
1000gene-100bp,R10,stelar,0.166666666666667
1000gene-true,R1,mpest,0
1000gene-true,R1,SuperTriplets,0
1000gene-true,R1,Astral,0
1000gene-true,R1,stelar,0
1000gene-true,R2,mpest,0
1000gene-true,R2,SuperTriplets,0
1000gene-true,R2,Astral,0
1000gene-true,R2,stelar,0
1000gene-true,R3,mpest,0
1000gene-true,R3,SuperTriplets,0
1000gene-true,R3,Astral,0
1000gene-true,R3,stelar,0
1000gene-true,R4,mpest,0
1000gene-true,R4,SuperTriplets,0
1000gene-true,R4,Astral,0
1000gene-true,R4,stelar,0
1000gene-true,R5,mpest,0
1000gene-true,R5,SuperTriplets,0
1000gene-true,R5,Astral,0
1000gene-true,R5,stelar,0
1000gene-true,R6,mpest,0
1000gene-true,R6,SuperTriplets,0
1000gene-true,R6,Astral,0
1000gene-true,R6,stelar,0
1000gene-true,R7,mpest,0
1000gene-true,R7,SuperTriplets,0
1000gene-true,R7,Astral,0
1000gene-true,R7,stelar,0
1000gene-true,R8,mpest,0
1000gene-true,R8,SuperTriplets,0
1000gene-true,R8,Astral,0
1000gene-true,R8,stelar,0
1000gene-true,R9,mpest,0
1000gene-true,R9,SuperTriplets,0
1000gene-true,R9,Astral,0
1000gene-true,R9,stelar,0
1000gene-true,R10,mpest,0
1000gene-true,R10,SuperTriplets,0
1000gene-true,R10,Astral,0
1000gene-true,R10,stelar,0
100gene-1000bp,R1,mpest,0.166666666666667
100gene-1000bp,R1,SuperTriplets,0
100gene-1000bp,R1,Astral,0.083333333333333
100gene-1000bp,R1,stelar,0.166666666666667
100gene-1000bp,R2,mpest,0.25
100gene-1000bp,R2,SuperTriplets,0.166666666666667
100gene-1000bp,R2,Astral,0.25
100gene-1000bp,R2,stelar,0.25
100gene-1000bp,R3,mpest,0.166666666666667
100gene-1000bp,R3,SuperTriplets,0.25
100gene-1000bp,R3,Astral,0.083333333333333
100gene-1000bp,R3,stelar,0.083333333333333
100gene-1000bp,R4,mpest,0.166666666666667
100gene-1000bp,R4,SuperTriplets,0.083333333333333
100gene-1000bp,R4,Astral,0.083333333333333
100gene-1000bp,R4,stelar,0.166666666666667
100gene-1000bp,R5,mpest,0.083333333333333
100gene-1000bp,R5,SuperTriplets,0.166666666666667
100gene-1000bp,R5,Astral,0
100gene-1000bp,R5,stelar,0.083333333333333
100gene-1000bp,R6,mpest,0.083333333333333
100gene-1000bp,R6,SuperTriplets,0.083333333333333
100gene-1000bp,R6,Astral,0
100gene-1000bp,R6,stelar,0
100gene-1000bp,R7,mpest,0.166666666666667
100gene-1000bp,R7,SuperTriplets,0
100gene-1000bp,R7,Astral,0.083333333333333
100gene-1000bp,R7,stelar,0.083333333333333
100gene-1000bp,R8,mpest,0.166666666666667
100gene-1000bp,R8,SuperTriplets,0.083333333333333
100gene-1000bp,R8,Astral,0.166666666666667
100gene-1000bp,R8,stelar,0.166666666666667
100gene-1000bp,R9,mpest,0.083333333333333
100gene-1000bp,R9,SuperTriplets,0.166666666666667
100gene-1000bp,R9,Astral,0
100gene-1000bp,R9,stelar,0.083333333333333
100gene-1000bp,R10,mpest,0.083333333333333
100gene-1000bp,R10,SuperTriplets,0.083333333333333
100gene-1000bp,R10,Astral,0
100gene-1000bp,R10,stelar,0
100gene-100bp,R1,mpest,0.5
100gene-100bp,R1,SuperTriplets,0
100gene-100bp,R1,Astral,0.25
100gene-100bp,R1,stelar,0.416666666666667
100gene-100bp,R2,mpest,0.416666666666667
100gene-100bp,R2,SuperTriplets,0.416666666666667
100gene-100bp,R2,Astral,0.416666666666667
100gene-100bp,R2,stelar,0.416666666666667
100gene-100bp,R3,mpest,0.333333333333333
100gene-100bp,R3,SuperTriplets,0.416666666666667
100gene-100bp,R3,Astral,0.333333333333333
100gene-100bp,R3,stelar,0.333333333333333
100gene-100bp,R4,mpest,0.25
100gene-100bp,R4,SuperTriplets,0.333333333333333
100gene-100bp,R4,Astral,0.166666666666667
100gene-100bp,R4,stelar,0.166666666666667
100gene-100bp,R5,mpest,0.583333333333333
100gene-100bp,R5,SuperTriplets,0.166666666666667
100gene-100bp,R5,Astral,0.416666666666667
100gene-100bp,R5,stelar,0.583333333333333
100gene-100bp,R6,mpest,0.166666666666667
100gene-100bp,R6,SuperTriplets,0.583333333333333
100gene-100bp,R6,Astral,0.166666666666667
100gene-100bp,R6,stelar,0.166666666666667
100gene-100bp,R7,mpest,0.333333333333333
100gene-100bp,R7,SuperTriplets,0.166666666666667
100gene-100bp,R7,Astral,0.333333333333333
100gene-100bp,R7,stelar,0.333333333333333
100gene-100bp,R8,mpest,0.5
100gene-100bp,R8,SuperTriplets,0.333333333333333
100gene-100bp,R8,Astral,0.5
100gene-100bp,R8,stelar,0.5
100gene-100bp,R9,mpest,0.25
100gene-100bp,R9,SuperTriplets,0.5
100gene-100bp,R9,Astral,0.25
100gene-100bp,R9,stelar,0.25
100gene-100bp,R10,mpest,0.25
100gene-100bp,R10,SuperTriplets,0.25
100gene-100bp,R10,Astral,0.25
100gene-100bp,R10,stelar,0.25
100gene-true,R1,mpest,0
100gene-true,R1,SuperTriplets,0
100gene-true,R1,Astral,0
100gene-true,R1,stelar,0
100gene-true,R2,mpest,0
100gene-true,R2,SuperTriplets,0
100gene-true,R2,Astral,0
100gene-true,R2,stelar,0
100gene-true,R3,mpest,0
100gene-true,R3,SuperTriplets,0
100gene-true,R3,Astral,0
100gene-true,R3,stelar,0
100gene-true,R4,mpest,0
100gene-true,R4,SuperTriplets,0
100gene-true,R4,Astral,0
100gene-true,R4,stelar,0.083333333333333
100gene-true,R5,mpest,0
100gene-true,R5,SuperTriplets,0.083333333333333
100gene-true,R5,Astral,0
100gene-true,R5,stelar,0
100gene-true,R6,mpest,0
100gene-true,R6,SuperTriplets,0
100gene-true,R6,Astral,0
100gene-true,R6,stelar,0
100gene-true,R7,mpest,0
100gene-true,R7,SuperTriplets,0
100gene-true,R7,Astral,0
100gene-true,R7,stelar,0
100gene-true,R8,mpest,0
100gene-true,R8,SuperTriplets,0
100gene-true,R8,Astral,0
100gene-true,R8,stelar,0
100gene-true,R9,mpest,0
100gene-true,R9,SuperTriplets,0
100gene-true,R9,Astral,0
100gene-true,R9,stelar,0
100gene-true,R10,mpest,0
100gene-true,R10,SuperTriplets,0
100gene-true,R10,Astral,0
100gene-true,R10,stelar,0
